id;url;business_target;target_words;blocked_words;title;description;location;is_active;created;updated
1;https://retha.name;true;Chips Handmade Self-enabling;SCSI deposit Functionality;SCSI Managed;hacking User-centric Cambridgeshire;clicks-and-mortar morph bluetooth;true;2022-04-06T12:56:29;2022-04-06T16:19:13
2;https://lulu.net;true;strategy primary copy;lime Keyboard Avon;Product deposit;moderator Accounts magnetic;Functionality;true;2022-04-06T15:21:20;2022-04-06T20:36:50
3;http://benny.name;true;back-end disintermediate;cross-platform generate;customized user-centric;cross-platform invoice;Avon;false;2022-04-07T00:26:07;2022-04-07T06:54:59
4;https://chad.info;true;brand evolve override;Cotton;AI Row;feed Romania;Steel Loan;true;2022-04-07T08:25:14;2022-04-06T23:01:34
5;https://asa.info;false;Mississippi Drives deposit;Malaysian;Manager;Monitored;JSON Practical Chair;false;2022-04-06T20:37:56;2022-04-06T21:45:11
6;http://zack.net;true;hacking programming Intranet;Profit-focused;iterate Alaska connect;Loan;Arkansas paradigms Namibia;true;2022-04-06T13:34:49;2022-04-07T07:54:48
7;http://kip.org;true;Hills Producer;Unbranded;solid payment;Re-contextualized Director generating;Fresh;false;2022-04-07T04:38:57;2022-04-06T22:02:56
8;https://gilbert.biz;true;fuchsia payment Legacy;Specialist payment;Pakistan;Texas Cotton;Data mindshare panel;false;2022-04-06T23:25:03;2022-04-07T02:54:28
9;http://greyson.name;false;Unbranded Face;Shoes grow azure;Networked;Gorgeous Towels;calculating;false;2022-04-06T22:51:36;2022-04-07T08:17:25
10;http://amber.com;false;Clothing Usability Track;SDD Prairie Virginia;bus wireless;TCP convergence 17(E.U.A.-17);Soft magenta Handmade;true;2022-04-06T20:56:20;2022-04-07T08:37:44
