id;title;message;description;is_active;created;updated
1;Maine;../fake-data/blob/hipster.txt;open-source;false;2022-04-06T14:14:47;2022-04-06T15:23:53
2;optical;../fake-data/blob/hipster.txt;Grove York Intelligent;false;2022-04-06T14:37:26;2022-04-07T06:34:45
3;Key red;../fake-data/blob/hipster.txt;Functionality Movies;true;2022-04-06T11:56:03;2022-04-07T01:21:13
4;Account Ports;../fake-data/blob/hipster.txt;wireless;false;2022-04-06T18:09:52;2022-04-06T21:15:56
5;Operations group Accounts;../fake-data/blob/hipster.txt;Automotive;false;2022-04-06T14:35:49;2022-04-07T09:39:34
6;Soap Granite California;../fake-data/blob/hipster.txt;wireless user-centric Focused;true;2022-04-07T04:40:37;2022-04-06T18:44:29
7;Lek Mexico;../fake-data/blob/hipster.txt;Station users;true;2022-04-06T20:33:15;2022-04-07T03:56:20
8;Cambridgeshire Re-contextualized Orchestrator;../fake-data/blob/hipster.txt;Paradigm;false;2022-04-06T19:47:41;2022-04-07T10:28:39
9;Strategist;../fake-data/blob/hipster.txt;Incredible SAS;false;2022-04-06T16:37:26;2022-04-06T20:08:00
10;Shoes Home Account;../fake-data/blob/hipster.txt;XML 5th;true;2022-04-06T17:52:42;2022-04-06T10:40:32
